Annotation,Text_lemm_char_4_gram
2,liar behe ehea head jewi ewis wish sell woma oman chil hild slav lave aver very
0,inve nves vest esti stig tiga igat gate game amer merg erga rgat gate late cons onsp nspi spir pira irac racy theo heor eory expe xpec pect full half alft lftr ftru trut ruth uths nons onse nsen sens ense
0,foll ollo llow
0,egyp gypt thre hrea reat eate aten tens mili ilit lita itar tary stri trik rike yeme emen hout outh uthi this iran ranb anba nbac back acke cked thre hrea reat eate aten stra trat rate ateg tegi egic alma lman mana anab ship hipp ippi ppin ping lane htt…
1,sexi exis xist femi emin mini inis nist make sick figh ight equa qual uali alit lity sorr orry
0,diff iffi ffic ficu icul cult ulty find time find ally figu igur gure
1,film jenn enni nnif nife ifer lope opez play rapi apis pist know ilia liad prot rota otag tago agon goni onis nist smfh
2,isla slam race micr icro crob robr obra brai rain deat eath cult
0,amaz mazo azon gene ener nera eral rall ally terr erri rrib ribl ible plac lace clot loth othi thin hing sock gtgt
2,stup tupi upid pidi idis dist argu rgum gume umen ment rati atio tion iona onal nali aliz lize barb arba rbar bari arit rity isla slam
2,rofl live arab rabi abia bian peni enin nins insu nsul sula comm ommi mmit geno enoc noci ocid cide
0,migh ight favo avor vori orit rite twee weet rogu ogue ever assu ssum sume umes twit witt itte tter hand andl ndle unix logi ogin
0,bala alan lanc ance ston tone arti rtis tist find peac eace watc atch zena enan nand andt ndth dthe thea hear eart arts
2,good morn orni rnin ning piss amer meri eric rica ican patr atri trio riot dang ange nger
0,kati atie nikk ikki need depo epor port aust ustr stra tral rali alia xlug lugn ugnm gnm0 nm0b m0bs 0bsw
0,fact twit witt itte tter make easy inte nter tera erac ract conn onne nnec nect
2,reli elig ligi igio gion isla slam buil uilt apar part arth rthe thei heid ethn thni hnic clea lean eans anse
0,yest este ster terd erda rday daes aesh post engi ngin gine blow lown clai laim aime imed daes aesh foun ound 2003
0,we’v e’ve good oodb odby dbye anot noth othe ther team happ appy toni onig nigh ight ght’ ht’s elim limi imin mina inat nati atio tion resu esul sult
0,hard time righ ight prob roba obab babl ably horm ormo rmon mone clos lose oses sest come make acct prot rote otec tect kind word appr ppre prec reci ecia ciat iate
0,love much much
1,tota otal know stan tand anym nymo ymor more butc utch tche cher bimb imbo wean
2,stop peop eopl ople flee tala alab laby abya byad capt aptu ptur ture koba oban bane anea neam eamp ampr mpro proc rock ocke cket voic oice near
0,here ere2
1,dras rask asko marr arri rrie ried bamb ambi anni nnie thin hink perf erfe rfec fect anno nnoy coup oupl uple
0,look nero wadh adhw dhwa coll ollu llud lude borr orro rrow term play layb aybo yboo book stop topw opwa pwad wadh adhw dhwa hwa2 wa20 a201 2015
1,turi urin ring test fail sexi exis xist amer meri eric rica take seri erio riou ious ousl usly hill illa llar lary clin lint into nton beco ecom come omes pres resi esid side iden dent
1,emot moti otio tion iona onal terr erro rror rori oris rism twit witt itte tter terf erfe rfem femi emin mini inis nism
0,thin hink jacs real eall ally stil till idea
0,some omet meti etim time imes
0,want coli olin mode odel scra crag ragg aggs like
0,pink chic hick snag nagg aggl ggle glet leto etoo toot ooth mode odel
1,vote cunt unta ntan tand anda ndan dand andr ndre anni nnie niel iell ello lloy loyd cook shit shit
1,call sexi exis xist yall woma oman cann anno nnot driv rive yall read yall head
0,scor core gene ener nero erou rous
1,girl repe epea peat part arti rtic tici icip cipa ipat pate shav have nove ovem vemb embe mber
0,some omet meti etim time imes feel need remi emin mind peop eopl ople nost osta stal talg algi lgic chil hild ildh ldho dhoo hood univ nive iver vers ersa rsal
1,grow slig ligh ight ghtl htly fore orei reig eign acce ccen cent migh ight fooo oook ooki okin king nots otse tsex sexi exis xist notr otra trac raci acis cist mayb aybe ybej beju ejus just usta stal tali ali…
0,thin hink past chri hris rist istm stma tmas 2016 rate
0,arab rabi abia bian penn enni nnin nins insu nsul sula jewi ewis wish moha oham hamm amme mmed exte xter term ermi rmin mina inat nati atio tion
0,gold
1,coli olin meat thig high mois oist tend ende nder talk main dish nick icki thig high
2,choo hoos oose defi efin fine qura uran foll ollo llow lowe ower extr xtre trem remi emis mist
0,plea leas ease
0,clea lear brin ring defe efen fend awar ware full ully capa apab pabl able defe efen fend
0,like
0,writ rite bloc lock
2,care revi evis vise mill illi llio lion time barb arba rbar bari arit rity isla slam
0,knew woul ould take cred redi edit util tili iliz lize work acco ccou coun ount real eall ally affe ffec fect life deci ecis ciso ison sons
0,come adul dult chil hild abus buse
0,woma oman wadh adhw dhwa mayb aybe inst nste stea tead call craz razy dram rama amat mati atic stop topw opwa pwad wadh adhw dhwa hwa2 wa20 a201 2015 http ttp…
1,glad anno nnoy bitc itch tchy blon lond onde thot hots kick
0,bing ingo comp ompl mple plet lete noti otif tifi ific fica icat cati atio tion alon lone
1,mayb aybe stil till righ ight
0,happ appe ppen clea lear cook ooke oked well food seri erio riou ious ousl usly fuck
2,moha oham hamm amme mmed peop eopl ople murd urde rder disa isag sagr agre gree reed woma oman marr arri rrie ried year behe ehea head
0,poin oint woul ould happ appy wrec reck face rand ando ndom aren rena mont onth
0,sorr orry grue rues ueso esom some
0,thou houg ough ught moni onit nito itor high easi asil sily
2,salo alon shut free spee peec eech shut peop eopl ople play race card idea deao eaol aolo olog logy isla slam
0,ever very eryo ryon yone jeal ealo alou lous coff offe ffee make aker love pure
2,peop eopl ople read qura uran come hate
1,mkr2 kr20 r201 2015 keep pret rett etty
0,hate andr ndre cook ooki okin king comp ompe mpet peti etit titi itio tion stop voti otin ting stra trat rate ateg tegi egic gica ical call ally sogg oggy brea read roll
0,over vert ertu rtur turn elec lect ecti ctio tion eith ithe ther plac lace peop eopl ople peop eopl ople righ ight long elec lect
0,sick andr ndre scra crap teet eeth kick show
0,daes aesh make chil hild kill ille ller comm ommi mmit geno enoc noci ocid cide mino inor nori orit rity slav lave aver very writ rite obit bitu itua tuar uary
0,call craz razy like food cons onst nstr stru truc ruct woul ould buil uild dess esse sser sert
0,happ appy watc atch last epis piso isod sode fuck ucke cken
0,must atta ttac tack exte xter term ermi rmin mina inat nate
0,woul ould vote 1010 make sure andr ndre home know stra trat rate ateg tegi egic voti otin ting
0,cand andi ndid dida idat date joke valu alue voti otin ting anyw nywa yway drag apat path athe thet heti etic frie rien iend poll plea leas ease need high turn urno rnou nout
0,sexi exis xist bitc itch
0,sear earc arch name cont onta ntac tact peop eopl ople talk cree reep eepy epys pyst ysta stal talk alke lker keri eris rish
2,true isla slam corr orru rrup rupt begi egin
1,thin hing gues uess
1,afra frai raid comm ommi mmit woma oman real eall ally love ques uest esti stio tion ions onsf nsfo sfor form orme rmen sexi exis xist bias divo ivor vorc orce ruin life
0,wish deat eath inst nste stea tead sudd udde dden deat eath
1,fems emsh mshe shep char hara arac ract acte cter crea reat eate appe ppea peas ease peop eopl ople path athe thet heti etic dept epth dif…
1,chil hild lack dept epth anal naly alys lysi ysis want list iste sten girl anno nnou noun ounc unce ncer watc atch iowa game sorr orry nots otse tsex sexi exis xist
2,feed litt ittl ttle piec iece taqi aqiy qiyy iyya
0,five prof rofe ofes fess essi ssio sion iona onal tran rans ansl nsla slat lato ator many musl usli slim know arab rabi abic firs irst lang angu ngua guag uage
0,pers erso rson doxx oxxe xxed 8cha chan desp espi spit pite pers erso rson post othe ther hers home addr ddre dres ress sudd udde dden denl enly prob robl oble blem
0,real eall ally anni nnie pony
0,talk twit witt itte tter week talk mont onth neen eene ener
0,tick next dish like
0,aaaa aaan aand anot noth othe ther emai mail read soci ocia cial just usti stic tice warr arri rrio rior lite iter tera eral rall ally sile ilen lenc ence redd eddi ddit 4cha chan outl utle tlet
1,hand sore find anot noth othe ther
1,barf call sexi exis xist woma oman spor port bori orin ring unle nles less wear some omet meth ethi thin hing shor hort ando ndor tigh ight jump umpi mpin ping arou roun ound
1,ever very eryt ryth ythi thin hing deco econ cons onst nstr stru truc ruct good erec rect ecti ctio tion
0,warp poli olit liti itic tica ical corr orre rrec rect ectn ctne tnes ness trum rump real eali alit lity requ equi quir uire comp ompa mpar part artm rtme tmen ment enta ntal tali aliz liza izat zati atio tion
1,caus ause wron rong want righ ight sexi exis xist fem…
0,cole look unco ncom comf omfo mfor fort orta rtab tabl able
0,well
0,beli elie lief peop eopl ople trea reat equa qual walk life vali alid opin pini inio nion
0,yesa esal sall allw llwo lwom wome omen deli eliv live iver very offi ffic fice 20so 0som some omet meth ethi thin hing sexu exua xual uall ally harr arra rras rass asse ssed reas eass assi ssig sign fire
0,iraq situ itua tuat uati atio tion repo epor port febr ebru brua ruar uary 2015 cont onte ntes test main area baij aiji dist istr stri tric rict
0,andr ndre dese eser serv erve hope dest estr stro troy grou roup roun ound
0,prob robl oble blem exch xcha chan hang ange
0,take heed gate ater ters alon lone worl orld camp ampa mpai paig aign hate peop eopl ople stan tand woma oman stan tand
0,feli elic lici icia raci acis cist whit hite woma oman name feli elic lici icia prob roba obab babl ably mome omen ment 2014 twit witt itte tter time imel meli elin line
0,inte nten tent enti ntio tion
0,disa isag sagr agre gree blin lind phys hysi ysic sica ical dime imen mens ensi nsio sion
1,sexi exis xist woma oman rapp appe pper joke wnba
2,2011 arti rtic ticl icle isla slam lami amis mist welf elfa lfar fare paid plot west demi emis mise
1,mean cons onse nsen sent pare aren rent enth ntho thoo hood toda oday
0,gues uess incl nclu clud lude enti ntir tire comm omme mmen ment thre hrea read
0,curi urio riou ious styl tyle guid uide anyt nyth ythi thin hing
0,like
0,keep mout outh food shit
0,user text pars arse know arti rtic ticl icle want thro hrow
0,watc atch show andr ndre path athe thet heti etic peop eopl ople dign igni gnit nity what hats atso tsoe soev oeve ever
0,girl goho ohom home
1,happ appe ppen pens time repr epro prod rodu oduc duct ucti ctiv tive righ ight what hats atso tsoe soev oeve ever ques uest esti stio tion ions onsf nsfo sfor form orme rmen
0,absu bsur surd
0,leak tape pres resi esid side iden dent erdo rdog doga ogan told bila ilal disp ispo spos pose mill illi llio lion cash
0,anyo nyon yone exte xten tend fami amil mily infu nfur furi uria riat iate dist istr stre tres ress envy
0,boug ough ught hobb obby lobb obby figu igur gure toge oget geth ethe ther
0,darn shoo hoot
2,idio diot hist isto stor tory woul ould that haty atyo tyou neve ever stud tudy barb arba rbar bari arit rity musl usli slim enti ntir tire time
0,prof enti ntir tire ukra krai rain aini inia nian nazi narr arra rrat rati ativ tive inve nven vent russ ussi ssia sian prop ropa opag paga agan gand anda
0,chic hick icke cken live iver baaa aaaa aaad choi hoic oice
2,mean send musl usli slim back midd iddl ddle east turn euro urop rope sewe ewer
0,expe xper peri erie rien ienc ence woma oman issu ssue bite
0,shut hard ardl rdly surp urpr rpri pris rise
2,moha oham hamm amme mmed firs irst wife katj atji tjia weal ealt alth lthy woma oman isla slam
1,rude sock fuck uter teru erus ever talk like
2,musl usli slim exte xter term ermi rmin mina inat nati atio tion
2,woma oman subj ubje bjec ject brut ruta utal abno bnor norm orma rmal marr arry mili ilit lita itan tant
0,glas lass thor horo orou roug ough ughl ghly anno nnoy
0,take lgbt play vide ideo game anym nymo ymor more
0,like than hank anks neve ever woul ould know many peop eopl ople twit witt itte tter yell
0,qura uran 3333
0,many roun ound cont onte ntes test esta stan tant
0,dear mary anne mall allo llor lory rela elat late snow more ores resn esno snow snow nowa owal wall allt llth lthe thet heti etim time
1,femi emin mini inis nism youn oung mind dirt irty game amer merg erga rgat gate noty otyo tyou your ours ursh rshi shie hiel ield advi dvic vice icef cefo efor fory oryo ryou youn oung ungf ngfe gfem femi emin mini inis nist ists http ttp…
0,noti otic tice andr ndre away ways mkr”
0,fant anta ntas tasy
0,view iewe ewer turn pert erth pair andr ndre desp espe sper pera erat rate stra trat rate ateg tegi egic scor core
0,game amer merg erga rgat gate exam
0,ughh ghhh hhhh
0,rule appl pple mini inid nidi idis disp ispl spla play layp aypo ypor port adap dapt apte pter neve ever able find fina inal nall ally need
1,atro troc roci ocio ciou ious
0,fact foll ollo llow exam xamp ampl mple prop roph ophe phet lett ette tter
0,sure enab nabl able twit witt itte tter with ithi thin good idea
0,worl orld star tart must livi ivin ving perp erpe rpet petu etua tual clou loud disa isap sapp appo ppoi poin oint intm ntme tmen ment stop topw opwa pwad wadh adhw dhwa hwa2 wa20 a201 2015
0,hone ones nest estl stly acti ctiv tivi ivis vist pers ersp rspe spec pect ecti ctiv tive tell woma oman wron rong tech
2,isla slam advo dvoc voca ocat cate tole oler lera eran ranc ance coex oexi exis xist iste sten tenc ence advo dvoc voca ocat cate hatr atre tred murd urde rder
1,well wome omen mena enag naga agai gain ains inst nstf stfe tfem femi emin mini inis nism femi emin mini inis nism ismi smis misa isaw sawf awfu wful
2,educ duca ucat cati atio tion repe epea peat stup tupi upid pidi idit dity imam
0,summ umme mmer is…h s…hm
2,peop eopl ople work hard make worl orld well plac lace othe ther hers work hard book drin rink part arty
1,call sexi exis xist sigh ight girl smok moki okin king unpl nple plea leas easa asan sant
0,sove over vere erei reig eign ignt gnty dict icta ctat tato ator real elec lect ecti ctio tion best esto stow sove over vere erei reig eign ignt gnty
1,andr ndre cart arto rtoo toon char hara arac ract acte cter ters ersk rska skat deve evel velo elop spor port orts rtsm tsma sman mans ansh nshi ship andr ndre grow ball take like cant antc ntco tcoo cook
0,rema emar mark nece eces cess essa ssar sary
0,sure anyo nyon yone noti otic tice andr ndre prom romo omos mosi woul ould boot ootp otpr tpre pret rett etty
0,welc elco lcom come inst nsta stan tant rest esta stau taur aura uran rant tack acky ckyi mean sass assy kati atie tiea iean eand andn ndni dnik nikk ikki
1,worl orld enri nric rich wisd isdo sdom sexi exis xist make sexi exis xist comm omme mmen ment make
2,next door paki akis kist ista stan musl usli slim stil till murd urde rder chri hris rist isti stia tian hind indu regu egul gula ular larl arly
1,exac xact reas easo ason woma oman invo nvol volv olve sexi exis xist situ itua tuat uati atio tion like alwa lway ways blow lown
1,shit know foot fron ront othe ther herm ermk rmkr
0,adul dult leas east wine sorr orry lt21 t21e 21er 1ers trul ruly suff uffe ffer
0,alre lrea read eady expl xpla plai lain prop ropa opag paga agan gand anda many time
0,love litt ittl ttle food oodi odie
0,kata atan tand anda ndan dand andr ndre unde nder ders erst rsta stan tand mean eani anin ning karm arma educ duca ucat cati atio tion ioni onis nisn isno snot nota otac tacr acri crim rime
0,spot rain stop cook ooki okin king
0,poll amer meri eric rica ican woul ould oppo ppos pose deal allo llow iran nuke year
0,fuck
0,time catc atch good oodn odni dnig nigh ight prob roba obab babl ably make some omet meth ethi thin hing soon anyw nywa yway
0,chem hemi emis mist istr stry invo nvol volv olve succ ucce cces cess essf ssfu sful cook ooki okin king leas east 100x comp ompl mple plex play team eamm amma mmat mate touc ouch ball
0,woul ould care bibl ible stan tand anda ndar dard secu ecul cula ular huma uman mani anis nism bibl ible
1,girl know prot rote otec tect ecti ctiv tive thin hing espe spec peci ecia cial iall ally girl does oesn esnt like shar hare
1,stan tand head horr orre rren rend endo ndou dous pers erso rson
0,psyc sych diff iffe ffer fere eren renc ence brig riga igad gade tini inie nies iest mino inor nori orit rity
0,mayb aybe educ duca ucat cate call othe ther hers name
0,ditt itto
0,jesu esus lloy loyd dras rask asko meet seri erio riou ious hand andj ndjo djob jobs tabl able
1,sexi exis xist fema emal male
1,knew dumb comm ommo mmon sens ense brai rain
0,well shit mkr2 kr20 r201 2015
0,puti utin stoo toop life read mash asha gess esse ssen book with itho thou hout face
2,read enti ntir tire qura uran much hadi adit dith know isla slam musl usli slim curs urse mank anki nkin kind
1,need woma oman laun aund undr ndry nots otse tsex sexi exis xist trut ruth
0,some ome1 sear earc arch free reeb eebs ebsd code twit witt itte tter name resu esul sult evid vide iden denc ence doe…
1,want lloy loyd meat ball mout outh poor lloy loyd
0,want cook ooki okin king good food sabo abot bota otag tage peop eopl ople chea heat andr ndre suck
1,sexi exis xist girl smok moke turn even supe uper perm ermo rmod mode odel stat tatu atus stil till turn
0,even prom romo omot mote twee weet slur game amer merg erga rgat gate
0,cool hope feel well know nigh ight happ appe ppen anyt nyth ythi thin hing help
0,come anno nnoy sure cons onsi nsid side ider hara aras rass assm ssme smen ment twit witt itte tter
1,andr ndre
0,foun ound
0,unfo nfor fort ortu rtun tuna unat nate atel tely typi ypic pica ical twit witt itte tter resp espo spon pons onse obse bser serv erva rvat vati atio tion vide ideo game e320 3201 2014
2,comp ompa mpar pare thou hous ousa usan sand jewi ewis wish extr xtre trem remi emis mist mill illi llio lion musl usli slim extr xtre trem remi emis mist
0,orig rigi igin gina inal cont onte nten tent
0,haha ahah haha ahah haha than hank kata atam tamp ampa mpan pand andr ndre advi dvis vise appl pply wate ater burn area dign igni gnit nity
0,isla slam
1,woul ould rath athe ther watc atch name welt elte lter terw erwe rwei weig eigh ight layl ayla prim rime sexi exis xist woma oman comp ompe mpe…
2,reli elig ligi igio gion read eady murd urde rder apos post osta stat tate mode oder dera erat rate musl usli slim
0,send squa quad uadr adro dron jord orda rdan bagh aghd ghda hdad dadi leas east 1000 daes aesh litt ittl ttle torc orch show stup tupi upid kali alip liph
1,zero cunt eigh ight seco econ cond word real eall ally mean inse nsec secu ecur cure whin hiny baby noth othi thin hing
0,stay comp cook good food ouch ouch
0,offe ffen fens ensi nsiv sive daes aesh moun ount look weak eake aker piti itif tifu iful last
1,sexi exis xist thin hink male come omed medi edia dian funn unni nnie nier fema emal male
0,life give lemo emon tart inst nsta stag tagr agra gram phot hoto lemo emon lemo emon mons onsw nswa swag ujea jeal ealo alou lous
0,anyo nyon yone defe efen fend poin oint tech echn chni hniq niqu ique appl pply supp uppo ppor port orte rter make sure stop
0,upse pset toni onig nigh ight elim limi imin mina inat nati atio tion resu esul sult
0,twee weet tend ques uest esti stio tion iona onab nabl able abus busi usiv sive almo lmos most alwa lway ways
1,even watc atch peri erio riod woma oman hock ocke ckey alon lone hour clas lass itno tnot nots otse tsex sexi exis xist exci xcit citi itin tin…
0,gosh
0,stil till watc atch
0,work matu atur turi urit rity grea reat year
0,ingr ngre gred redi edie dien ient spon pons onso nsor sors orsh rshi ship like fukn goog oogl ogle
0,want coli olin manu feed drea ream eamt amte mtea team
0,paus ause horr orro rror real eali aliz lize hars arsh real eali alit lity stat tate atem teme emen ment
0,adam mone oney dead eadb adbe dbea beat
0,good oodb odby dbye stan tand watc atch word fail cook ooki okin king
1,many prod rodu oduc duce ucer blow stay comp ompe mpet peti etit titi itio tion
0,popt opta ptar tart arts stuf tuff uffo ffof fofl ofle fleg lege egen gend ends
0,anti ntis tise isem semi emit miti itic brea reak gtgt well call saul
2,woma oman conv onve nver vert isla slam marr arry musl usli slim conv onve nver vert pris riso ison
1,apat path athy
0,loos oose coun ount fing inge nger
0,main cour ours urse actu ctua tual uall ally look deli elic lici icio ciou ious woul ould ever very eryt ryth ythi thin hing pork cutl utle tlet
1,good arti rtic ticl icle expl xpla plai lain earn stil till mist ista stak take aken kenl enly conf onfl nfla flat late auth utho thor http ttp…
2,actu ctua tual spir piri irit ritu itua tual uali alit lity budd uddh ddhi dhis hism zero spir piri irit ritu itua tual uali alit lity isla slam
0,brit riti itis tish teen eena enag nage ager time week eeke eken kend repo epor port slav lave aver very find ausp uspo spol htt…
0,shir hirt
0,than hank anks free adve dver vert erti rtis tisi isin sing
1,atti ttit titu itud tude thin hink time keep scor core quie uiet fina inal roun ound
0,deco econ cons onst nstr stru truc ruct ucti ctio tion ruin huma uman mani anit nity must kill food
0,hand mode odel care aree reer
0,fuck seri erio riou ious stay
0,omga frig rigg iggi ggin 1wha what thew hewo ewow disg isgr sgra grac race acef cefu eful abso bsol solu olut lute utel tely shre hred good spor port orts rtsm tsma sman mans ansh nshi ship rede edee deem eema emab mabl able qual uali alit lity
0,like anyt nyth ythi thin hing toni onig nigh ight menu well back hung ungr ngry jack shit serv erve nigh ight
2,kiss read book musl usli slim bigo igot writ rite prom romo omot mote fasc asci scis cist murd urde rder geno enoc noci ocid cide huma uman mani anit nity
0,thin hink inki nkin chri hris rist isti stia tian kill baby inbr nbre bred stup tupi upid pidi idit dity
2,anot noth othe ther race bait aiti itin ting idio diot brow rown woul ould hate hind indu ndui duis uism budd uddh ddhi dhis hism hate isla slam
1,woma oman skat kate ater fall make look grac race acef cefu eful like nots otse tsex sexi exis xist
0,puni unis nish ishm shme hmen ment apos post osta stac tacy isla slam deat eath proo roof
0,well resu esul sult feel espe spec peci ecia cial iall ally amou moun ount peop eopl ople panc anca ncak cake
